shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
34b_shp,25.71794168,-100.3169775,24
34b_shp,25.71597945,-100.3169346,25
34b_shp,25.71155225,-100.3168702,26
34b_shp,25.70867158,-100.3168702,27
34b_shp,25.7067382,-100.316838,28
34b_shp,25.70298736,-100.3166664,29
34b_shp,25.6999518,-100.3169131,30
34b_shp,25.69710952,-100.3169131,31
34b_shp,25.69034191,-100.3168488,32
34b_shp,25.68662922,-100.3177714,33
34b_shp,25.68399934,-100.3180718,34
34b_shp,25.67866204,-100.3188229,35
34b_shp,25.67761775,-100.3199279,36
34b_shp,25.67740503,-100.3228784,37
34b_shp,25.67580958,-100.3230608,38
34b_shp,25.67373062,-100.3233397,39
34b_shp,25.67111012,-100.3233075,40
34b_shp,25.67067498,-100.3191555,41
34b_shp,25.67209644,-100.3188658,42
34b_shp,25.67539379,-100.3183722,43
34b_shp,25.67716329,-100.3181577,44
34b_shp,25.68116634,-100.3176105,45
34b_shp,25.68243298,-100.3174281,46
34b_shp,25.68584606,-100.3169346,47
34b_shp,25.69006152,-100.3166717,48
34b_shp,25.69448953,-100.3167361,49
34b_shp,25.69712402,-100.3167576,50
34b_shp,25.69996147,-100.3167361,51
34b_shp,25.70183695,-100.3162318,52
34b_shp,25.70656419,-100.3145045,53
34b_shp,25.70825107,-100.3139198,54
34b_shp,25.71043092,-100.3130293,55
34b_shp,25.71405103,-100.311833,56


